Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,US,Texas,Midland Odessa,8,2,2015,84.6
South/Central America & Carribean,Nicaragua,,Managua,3,14,2008,81.5
North America,Mexico,,Guadalajara,11,24,2016,61.9
Asia,Pakistan,,Karachi,11,7,2018,77.2
North America,US,Connecticut,Bridgeport,8,21,2016,79.1
North America,US,Virginia,Norfolk,2,18,2010,38.7
Africa,Gambia,,Banjul,5,10,2005,83.8
South/Central America & Carribean,Belize,,Belize City,4,27,2016,84.8
North America,US,Kentucky,Louisville,9,24,1997,61.4
North America,US,Kansas,Topeka,8,11,2005,85.3
Middle East,Kuwait,,Kuwait,1,12,1999,56.5
North America,US,Vermont,Burlington,3,25,2018,30.9
Middle East,Saudi Arabia,,Riyadh,1,31,2016,49.4
North America,US,Nebraska,Omaha,2,15,2004,3.6
North America,US,Virginia,Richmond,3,16,2013,53.9
Africa,Burundi,,Bujumbura,4,30,1999,-99.0
North America,US,Colorado,Grand Junction,9,5,2013,82.0
Europe,Austria,,Vienna,11,6,2019,49.0
North America,US,Iowa,Des Moines,1,28,2010,10.2
North America,Canada,,Regina,3,7,2007,11.2
Middle East,Syria,,Damascus,4,14,2016,59.1
Asia,Singapore,,Singapore,11,6,1997,82.6
North America,US,Alabama,Montgomery,12,23,1998,38.2
North America,US,Wisconsin,Milwaukee,1,7,2017,6.1
North America,US,Kansas,Goodland,1,15,2005,8.5
South/Central America & Carribean,Cuba,,Havana,4,11,2006,75.1
North America,US,Kentucky,Louisville,8,31,2017,76.4
Middle East,Jordan,,Amman,1,23,2007,47.1
Europe,Denmark,,Copenhagen,2,21,2006,33.5
Africa,Uganda,,Kampala,12,24,2007,74.7
North America,US,Iowa,Des Moines,7,10,2003,71.9
Africa,Mozambique,,Maputo,7,30,2002,71.0
North America,Mexico,,Mexico City,3,15,2005,61.1
North America,US,Texas,Austin,11,27,2010,40.3
Europe,France,,Paris,7,8,2004,62.4
Europe,Macedonia,,Skopje,12,28,2012,33.3
Europe,The Netherlands,,Amsterdam,12,9,1995,29.2
South/Central America & Carribean,Equador,,Guayaquil,11,16,2004,76.8
Middle East,Turkey,,Ankara,5,17,1996,56.5
North America,US,Ohio,Cincinnati,8,13,2014,68.4
North America,US,Arkansas,Fort Smith,12,9,1997,39.9
Asia,India,,Chennai (Madras),4,8,2020,87.5
Asia,India,,Delhi,9,21,1998,82.9
North America,US,Alabama,Montgomery,11,29,2004,52.0
Middle East,United Arab Emirates,,Dubai,12,19,1999,70.4
South/Central America & Carribean,Suriname,,Paramaribo,3,1,2001,76.0
North America,US,Arizona,Phoenix,4,2,2011,83.1
North America,US,Arkansas,Fort Smith,9,26,2012,82.1
North America,US,Louisiana,Baton Rouge,8,25,2006,78.4
Asia,China,,Guangzhou,4,5,2011,66.6
North America,US,Florida,Tampa St. Petersburg,7,25,2009,84.1
South/Central America & Carribean,Bermuda,,Hamilton,8,8,2008,82.2
Europe,Albania,,Tirana,8,21,2010,79.3
North America,US,Ohio,Cleveland,11,27,2001,49.9
North America,US,Oregon,Portland,5,3,1996,45.5
North America,US,West Virginia,Elkins,11,13,1996,25.2
North America,US,Illinois,Rockford,7,5,2001,68.4
North America,US,Ohio,Toledo,1,28,2001,19.8
Australia/South Pacific,New Zealand,,Auckland,5,31,2008,52.8
North America,US,Maine,Portland,11,28,2005,36.0
North America,Canada,,Montreal,1,20,2005,5.1
Europe,Slovakia,,Bratislava,9,10,2012,71.3
Africa,Benin,,Cotonou,1,22,2001,82.6
North America,US,Idaho,Boise,4,22,2000,58.8
North America,US,Georgia,Atlanta,4,1,2013,62.5
North America,US,Ohio,Cincinnati,8,17,2005,75.2
North America,US,Montana,Helena,8,17,2006,60.3
South/Central America & Carribean,Guyana,,Georgetown,8,7,2005,80.2
Europe,Bulgaria,,Sofia,12,22,2005,25.0
North America,US,Florida,Miami Beach,12,20,2012,74.6
North America,US,Alabama,Montgomery,9,1,2008,82.2
South/Central America & Carribean,Suriname,,Paramaribo,4,5,2001,77.5
North America,US,Ohio,Youngstown,11,25,1995,27.2
North America,US,District of Columbia,Washington,12,28,2001,33.8
South/Central America & Carribean,Guatemala,,Guatemala City,2,1,2001,66.1
Asia,India,,Bombay (Mumbai),10,5,2011,83.6
North America,US,Illinois,Peoria,6,19,2009,79.7
Asia,Vietnam,,Hanoi,3,15,2001,71.3
Australia/South Pacific,New Zealand,,Auckland,6,20,2006,47.7
North America,US,California,San Diego,12,26,2010,58.9
North America,US,Kentucky,Paducah,3,24,2007,68.9
North America,US,Texas,Dallas Ft Worth,7,14,2005,84.8
Africa,Burundi,,Bujumbura,3,10,2003,-99.0
North America,US,Ohio,Cleveland,10,1,2018,68.4
North America,US,Maryland,Baltimore,9,3,2014,76.2
North America,US,Georgia,Columbus,6,16,2007,77.5
Africa,Egypt,,Cairo,6,19,2007,84.0
North America,US,District of Columbia,Washington,3,29,1995,48.1
Africa,Mauritania,,Nouakchott,1,1,2004,74.0
Australia/South Pacific,Australia,,Perth,9,5,2019,49.9
Europe,Finland,,Helsinki,11,17,2010,29.1
South/Central America & Carribean,Belize,,Belize City,12,21,2015,80.1
Middle East,Oman,,Muscat,5,24,2001,90.4
Europe,Albania,,Tirana,12,17,2001,34.7
North America,US,Iowa,Des Moines,1,17,2007,8.4
North America,US,Louisiana,Lake Charles,7,18,1999,79.6
North America,US,Texas,San Antonio,6,4,2010,71.3
North America,US,Michigan,Flint,2,4,2000,28.9
Europe,United Kingdom,,London,11,19,2002,45.5
South/Central America & Carribean,Argentina,,Buenos Aires,3,17,2005,73.8
Asia,South Korea,,Seoul,9,16,2019,73.3
North America,US,Michigan,Lansing,1,8,2006,32.5
Africa,Kenya,,Nairobi,6,28,2018,67.1
North America,US,Mississippi,Jackson,9,8,1997,76.2
Middle East,Qatar,,Doha,6,20,2017,103.8
Europe,United Kingdom,,Belfast,12,19,2013,37.2
North America,US,Indiana,Evansville,8,20,2017,78.9
Europe,Portugal,,Lisbon,2,13,2011,54.1
North America,US,Wisconsin,Madison,1,3,2005,26.4
Africa,South Africa,,Capetown,3,26,1996,64.3
North America,US,Florida,Tallahassee,10,17,2012,66.2
North America,US,Florida,Tallahassee,9,1,2013,81.9
Asia,Taiwan,,Taipei,10,29,1997,69.5
North America,US,North Carolina,Greensboro,1,18,1999,52.1
North America,US,Wisconsin,Milwaukee,10,26,2001,39.2
North America,US,Indiana,South Bend,4,5,1999,50.1
North America,US,Maryland,Washington DC,6,13,2019,68.8
North America,US,Minnesota,Duluth,2,13,2008,8.0
North America,US,Tennessee,Nashville,8,8,2010,81.6
North America,US,Iowa,Sioux City,10,28,2005,45.4
Middle East,United Arab Emirates,,Dubai,5,14,1996,86.4
Europe,Spain,,Bilbao,4,16,2018,56.5
Australia/South Pacific,Australia,,Brisbane,3,17,2002,76.7
Europe,Norway,,Oslo,8,17,2007,56.1
North America,US,Florida,Tallahassee,4,13,2006,68.8
Asia,Malaysia,,Kuala Lumpur,8,25,2015,84.8
Africa,Morocco,,Rabat,3,16,2014,55.3
North America,US,Virginia,Roanoke,2,15,2017,46.8
North America,Canada,,Vancouver,4,6,1999,44.4
Asia,China,,Beijing,12,22,2017,34.8
Europe,France,,Paris,3,20,2013,42.7
Europe,France,,Paris,4,26,2009,54.1
Europe,Switzerland,,Zurich,5,2,2012,55.1
Middle East,Qatar,,Doha,5,8,1999,87.8
South/Central America & Carribean,Colombia,,Bogota,7,28,2011,57.7
Europe,Portugal,,Lisbon,4,14,2012,55.6
Europe,Switzerland,,Geneva,12,28,2006,30.3
North America,US,Illinois,Chicago,3,14,2014,42.6
South/Central America & Carribean,Dominican Republic,,Santo Domingo,1,13,2016,78.6
North America,Mexico,,Mexico City,4,28,1996,63.1
Africa,Tanzania,,Dar Es Salaam,7,11,1999,76.0
North America,US,Rhode Island,Rhode Island,8,18,2014,69.0
Asia,Sri Lanka,,Colombo,11,19,2018,79.7
North America,US,Hawaii,Honolulu,11,13,2014,76.7
North America,US,Maryland,Washington DC,2,12,2007,33.1
North America,US,New Jersey,Atlantic City,6,9,1995,67.6
South/Central America & Carribean,Bahamas,,Nassau,9,15,2015,85.4
Asia,Vietnam,,Hanoi,6,25,2005,88.3
South/Central America & Carribean,Haiti,,Port au Prince,6,2,1995,88.9
Africa,Benin,,Cotonou,12,17,1997,82.7
Africa,Morocco,,Rabat,3,2,2001,64.9
Africa,Nigeria,,Niamey,12,23,2015,72.7
Europe,Hungary,,Budapest,4,15,1999,56.8
Europe,Iceland,,Reykjavik,8,13,2017,48.6
North America,US,Oregon,Medford,1,4,2000,41.2
Middle East,Saudi Arabia,,Riyadh,8,18,2017,98.2
Africa,South Africa,,Capetown,7,14,2013,55.9
North America,US,Arizona,Tucson,1,30,2015,59.0
North America,US,Ohio,Columbus,11,11,2012,59.3
Asia,Japan,,Sapporo,1,20,2007,19.5
North America,US,Florida,Tallahassee,7,3,2002,80.3
South/Central America & Carribean,Costa Rica,,San Jose,5,22,2001,72.3
Europe,Ukraine,,Kiev,4,28,2001,52.3
Asia,Nepal,,Katmandu,2,12,2017,54.6
Asia,India,,Delhi,3,3,2006,67.7
North America,US,Texas,Lubbock,8,12,2004,70.9
North America,US,Colorado,Pueblo,1,10,2002,39.3
Africa,Guinea,,Conakry,5,24,2018,83.5
North America,US,Ohio,Dayton,3,16,2006,38.9
North America,US,Wisconsin,Madison,3,29,2008,33.2
North America,US,District of Columbia,Washington,3,18,2002,42.6
Europe,Poland,,Warsaw,7,17,2005,67.5
South/Central America & Carribean,Equador,,Guayaquil,4,2,2019,80.7
North America,US,Utah,Salt Lake City,10,1,2009,43.6
North America,US,Mississippi,Jackson,7,22,2015,85.9
North America,US,Virginia,Richmond,9,26,2018,78.3
Middle East,Israel,,Tel Aviv,12,12,1997,61.4
Asia,Vietnam,,Hanoi,2,15,1997,59.4
Asia,Malaysia,,Kuala Lumpur,12,8,1999,79.5
South/Central America & Carribean,Barbados,,Bridgetown,4,25,2008,80.6
Australia/South Pacific,Australia,,Brisbane,2,1,2009,77.5
North America,US,Nevada,Las Vegas,10,29,2000,60.1
North America,US,Pennsylvania,Philadelphia,4,10,2015,45.2
North America,US,Kansas,Goodland,5,17,2011,58.0
Europe,Albania,,Tirana,4,15,2010,57.6
North America,US,Ohio,Youngstown,10,12,2019,55.2
Asia,India,,Bombay (Mumbai),7,4,2013,83.9
Europe,Hungary,,Budapest,7,21,2011,60.8
North America,US,Indiana,South Bend,7,28,2011,81.1
North America,US,Indiana,South Bend,12,2,1996,28.9
Middle East,Saudi Arabia,,Riyadh,7,29,2018,97.0
North America,Mexico,,Mexico City,1,9,1999,58.2
North America,US,Oregon,Medford,1,19,2002,36.1
North America,US,Ohio,Columbus,6,22,2016,71.3
North America,US,Illinois,Springfield,8,20,1995,79.9
North America,US,Rhode Island,Rhode Island,11,11,2009,52.2
Asia,Japan,,Osaka,4,8,2019,59.9
North America,US,Utah,Salt Lake City,4,30,1996,55.8
North America,US,Washington,Seattle,2,19,2006,35.5
North America,Mexico,,Monterrey,5,10,2001,79.2
Europe,Ukraine,,Kiev,5,25,1996,60.7
Middle East,Bahrain,,Manama,12,22,2012,70.2
Asia,Philippines,,Manila,2,18,2000,80.9
North America,US,Alaska,Juneau,6,29,2009,50.7
Australia/South Pacific,New Zealand,,Auckland,1,14,2018,72.6
North America,US,Montana,Helena,4,7,2002,49.5
North America,US,Colorado,Pueblo,8,12,2013,71.2
Europe,Switzerland,,Bern,2,27,2017,42.9
Europe,Iceland,,Reykjavik,2,13,2001,37.4
Middle East,Jordan,,Amman,7,6,2010,82.2
South/Central America & Carribean,Brazil,,Brasilia,12,30,2001,70.9
Europe,France,,Paris,2,22,2020,49.5
Europe,Albania,,Tirana,2,14,2003,42.0
North America,US,Arizona,Tucson,11,12,1999,73.9
Europe,Poland,,Warsaw,10,4,2000,61.6
North America,US,Texas,Waco,4,26,1996,-99.0
Africa,Algeria,,Algiers,4,25,2007,61.8
North America,US,Mississippi,Jackson,3,4,2013,48.3
South/Central America & Carribean,Peru,,Lima,10,16,2005,61.7
North America,US,Indiana,Evansville,3,15,1996,57.5
North America,US,Alaska,Fairbanks,2,22,2018,23.9
North America,US,Colorado,Pueblo,6,12,2005,65.3
North America,US,Nebraska,North Platte,5,9,2003,51.1
Asia,Sri Lanka,,Colombo,3,18,2015,81.7
North America,US,Iowa,Sioux City,11,17,2004,53.9
Africa,Tunisia,,Tunis,5,14,2005,70.1
North America,US,New York,Albany,4,28,2014,50.1
Middle East,Turkey,,Ankara,5,26,2004,51.4
North America,US,South Carolina,Charleston,8,31,2007,78.6
North America,US,Montana,Helena,1,7,1997,30.0
Europe,Greece,,Athens,10,1,2003,72.3
North America,US,Washington,Seattle,3,17,2009,39.6
North America,US,Delaware,Wilmington,2,2,2007,34.6
South/Central America & Carribean,Bermuda,,Hamilton,10,28,1998,71.8
North America,US,New York,Rochester,6,14,2006,65.4
Asia,China,,Chengdu,3,27,2000,60.7
North America,US,Rhode Island,Rhode Island,7,25,2012,72.7
North America,US,South Dakota,Sioux Falls,11,23,2010,14.6
North America,Canada,,Calgary,4,2,2013,42.3
North America,US,Ohio,Toledo,9,11,1999,63.5
South/Central America & Carribean,Brazil,,Sao Paulo,9,19,2008,57.7
Middle East,Saudi Arabia,,Dhahran,8,1,1998,99.5
Europe,United Kingdom,,Belfast,12,16,2008,45.8
Asia,China,,Chengdu,8,7,2019,82.7
North America,US,Florida,West Palm Beach,11,15,2017,75.9
South/Central America & Carribean,Haiti,,Port au Prince,6,3,2016,86.8
Middle East,United Arab Emirates,,Abu Dhabi,3,7,1997,72.3
Africa,Gabon,,Libreville,8,31,2018,79.7
Europe,Germany,,Frankfurt,4,4,1998,-99.0
North America,US,Alabama,Birmingham,6,26,1999,75.4
North America,US,Michigan,Detroit,9,26,2012,63.6
Africa,Gambia,,Banjul,1,31,2006,76.1
Europe,Yugoslavia,,Belgrade,1,10,1999,-99.0
Africa,Tunisia,,Tunis,7,12,2010,85.6
North America,US,South Carolina,Charleston,5,7,2000,71.0
North America,US,New York,Syracuse,2,13,2016,6.5
Europe,Bulgaria,,Sofia,3,27,2018,42.5
South/Central America & Carribean,Barbados,,Bridgetown,1,28,2005,80.1
North America,US,Arizona,Phoenix,1,7,2014,55.5
Africa,Malawi,,Lilongwe,12,25,2012,76.1
North America,US,South Dakota,Rapid City,1,3,2006,35.4
Middle East,Oman,,Muscat,7,24,1997,-99.0
South/Central America & Carribean,Brazil,,Sao Paulo,10,1,2015,67.6
Africa,Mozambique,,Maputo,12,7,2002,76.5
North America,US,Connecticut,Hartford Springfield,8,8,1999,71.8
Africa,Morocco,,Rabat,8,29,2017,70.7
North America,US,Wyoming,Cheyenne,2,17,2011,38.9
North America,US,Oregon,Portland,5,24,2016,61.3
North America,US,Ohio,Cincinnati,5,14,2012,63.6
North America,US,California,San Francisco,4,7,2016,69.4
Europe,United Kingdom,,London,10,10,2011,63.1
North America,US,Louisiana,New Orleans,4,23,2010,72.2
North America,US,North Carolina,Raleigh Durham,3,26,2001,45.4
Asia,China,,Chengdu,11,10,1997,58.5
Europe,Macedonia,,Skopje,1,20,2020,34.5
Europe,Macedonia,,Skopje,12,10,2012,26.2
North America,US,Texas,El Paso,3,18,2006,63.9
North America,US,California,Fresno,12,30,2009,48.6
North America,US,Maryland,Washington DC,11,19,1997,39.6
North America,US,Pennsylvania,Wilkes Barre,3,2,2001,28.9
South/Central America & Carribean,Haiti,,Port au Prince,6,15,2017,88.6
Europe,Germany,,Munich,2,16,1998,47.3
South/Central America & Carribean,Honduras,,Tegucigalpa,5,1,2005,78.9
Middle East,Saudi Arabia,,Riyadh,5,8,2006,92.8
South/Central America & Carribean,Haiti,,Port au Prince,5,27,2015,83.9
North America,US,Maine,Caribou,5,30,2010,60.8
North America,US,Alabama,Birmingham,9,15,2006,71.4
Africa,Kenya,,Nairobi,6,8,2012,65.9
North America,US,Texas,Dallas Ft Worth,12,23,2005,55.0
North America,US,Oregon,Medford,5,12,1998,47.5
North America,US,Mississippi,Tupelo,5,24,2010,80.8
Europe,Germany,,Hamburg,4,6,2008,-99.0
Europe,France,,Paris,9,7,2006,66.1
North America,US,Maryland,Baltimore,3,16,2012,54.5
North America,US,Colorado,Denver,9,1,2002,74.8
Europe,Yugoslavia,,Belgrade,9,22,2007,57.0
North America,US,California,Los Angeles,8,17,2014,71.3
Middle East,Turkey,,Istanbul,5,1,2005,55.0
Middle East,Syria,,Damascus,2,12,2011,43.5
Europe,Belarus,,Minsk,5,26,2014,71.5
Middle East,Saudi Arabia,,Riyadh,7,26,2001,102.2
North America,US,California,Sacramento,9,20,1998,68.3
North America,Mexico,,Mexico City,10,6,1999,55.4
North America,US,Illinois,Rockford,11,3,2004,45.8
Africa,Guinea-Bissau,,Bissau,10,7,2011,87.1
North America,US,Maryland,Washington DC,4,13,2005,52.3
North America,US,Kansas,Goodland,2,27,2008,35.7
North America,US,Iowa,Des Moines,10,28,2019,39.8
South/Central America & Carribean,Nicaragua,,Managua,7,7,2010,79.3
North America,US,Utah,Salt Lake City,11,29,2013,39.7
Africa,Burundi,,Bujumbura,11,13,2006,-99.0
North America,US,Texas,Lubbock,5,25,2015,65.2
North America,US,New Hampshire,Concord,12,7,1995,26.6
Asia,Kazakhstan,,Almaty,10,3,2001,46.2
North America,US,California,San Diego,11,4,2006,64.3
Asia,China,,Shanghai,7,4,2014,75.6
Asia,India,,Delhi,10,5,2005,82.3
North America,US,Texas,Waco,3,6,1997,47.5
Europe,Germany,,Hamburg,6,14,2011,64.8
North America,US,Florida,Tampa St. Petersburg,12,13,2013,60.8
North America,US,Utah,Salt Lake City,2,1,2009,31.1
North America,US,Pennsylvania,Harrisburg,10,22,2001,60.2
Europe,Norway,,Oslo,7,28,2002,62.7
Asia,Malaysia,,Kuala Lumpur,2,17,2012,83.7
Europe,Switzerland,,Zurich,3,17,2014,52.7
North America,US,Alaska,Fairbanks,6,5,2017,64.8
North America,US,Michigan,Lansing,5,19,2016,56.5
North America,US,Michigan,Lansing,7,16,2009,71.2
Middle East,Jordan,,Amman,1,7,1998,51.3
South/Central America & Carribean,Haiti,,Port au Prince,2,18,2018,83.9
Australia/South Pacific,Australia,,Perth,10,26,1995,67.9
North America,US,Louisiana,New Orleans,2,15,1995,66.9
South/Central America & Carribean,Peru,,Lima,2,7,2013,77.3
North America,US,Kentucky,Paducah,9,7,2000,73.1
North America,US,Indiana,Fort Wayne,9,20,2018,76.7
North America,US,Maine,Portland,9,10,2015,72.9
South/Central America & Carribean,Panama,,Panama City,8,28,2009,82.0
Africa,Mauritania,,Nouakchott,8,23,2001,86.0
North America,US,Louisiana,New Orleans,10,24,2015,77.1
South/Central America & Carribean,Argentina,,Buenos Aires,2,15,2011,77.0
Europe,Romania,,Bucharest,3,17,1996,31.1
North America,US,Texas,Houston,12,2,2014,47.9
Europe,Macedonia,,Skopje,8,31,2007,80.4
North America,US,Michigan,Detroit,4,6,1996,32.8
North America,US,Wyoming,Cheyenne,3,30,1997,37.5
Africa,Nigeria,,Lagos,8,26,2002,76.3
North America,US,Oklahoma,Oklahoma City,2,19,2015,34.4
North America,US,Illinois,Springfield,3,4,2006,32.2
North America,US,Oregon,Eugene,7,12,2004,74.0
South/Central America & Carribean,Uruguay,,Montvideo,10,9,2005,60.2
Asia,India,,Chennai (Madras),4,1,2001,86.6
Middle East,Turkey,,Ankara,12,17,2011,40.6
North America,US,Arkansas,Fort Smith,4,25,2009,72.9
North America,US,New York,New York City,6,5,2003,61.1
North America,US,South Carolina,Charleston,8,23,2006,81.6
Asia,Tajikistan,,Dusanbe,7,21,2009,83.8
South/Central America & Carribean,Brazil,,Brasilia,10,19,2015,77.9
North America,US,North Carolina,Raleigh Durham,4,5,1995,54.7
South/Central America & Carribean,Costa Rica,,San Jose,3,4,2010,75.9
North America,US,New York,New York City,9,21,2006,62.3
North America,US,Pennsylvania,Erie,2,25,2020,39.0
Middle East,Lebanon,,Beirut,4,4,2006,61.6
Asia,Kazakhstan,,Almaty,4,12,2019,56.2
North America,US,Indiana,Fort Wayne,8,9,2016,75.7
Africa,South Africa,,Capetown,9,12,2006,57.7
North America,US,South Carolina,Charleston,8,19,1996,78.7
Europe,Switzerland,,Bern,11,3,2003,41.4
North America,US,Florida,West Palm Beach,6,8,2001,81.3
North America,US,Hawaii,Honolulu,10,30,2003,80.5
North America,US,Kansas,Wichita,3,3,2013,36.1
North America,US,Texas,Dallas Ft Worth,11,12,2003,70.1
Europe,Spain,,Madrid,5,5,2010,49.4
Africa,Guinea,,Conakry,4,24,2019,-99.0
Africa,Tunisia,,Tunis,1,23,2003,51.5
North America,US,South Dakota,Rapid City,6,5,1998,45.7
North America,US,New Hampshire,Concord,10,18,2014,57.4
North America,US,Idaho,Boise,7,19,2003,87.0
North America,US,Ohio,Cincinnati,10,29,1995,47.6
North America,US,Tennessee,Chattanooga,3,17,2012,67.3
Europe,Austria,,Vienna,9,26,1999,63.5
Europe,Romania,,Bucharest,9,7,2018,71.1
North America,US,Indiana,Indianapolis,1,6,2010,16.1
North America,US,Wyoming,Cheyenne,10,17,2017,54.9
Europe,Poland,,Warsaw,12,14,1996,28.7
Africa,Gambia,,Banjul,6,8,2005,84.7
North America,US,Oregon,Eugene,6,23,2013,70.1
North America,US,Vermont,Burlington,7,6,2004,69.1
North America,US,Ohio,Cincinnati,9,9,1999,72.7
Africa,Mozambique,,Maputo,11,28,2007,71.2
North America,US,Illinois,Springfield,6,11,2002,71.3
South/Central America & Carribean,Cuba,,Havana,11,21,2016,66.4
Africa,Ivory Coast,,Abidjan,2,10,2008,84.8
South/Central America & Carribean,Colombia,,Bogota,2,26,2008,54.5
North America,US,West Virginia,Charleston,8,5,1998,72.5
Middle East,Saudi Arabia,,Riyadh,4,19,2004,79.0
Middle East,Turkey,,Ankara,12,8,1999,32.1
North America,US,Michigan,Detroit,1,24,2004,12.0
North America,US,South Dakota,Rapid City,8,21,2001,79.3
North America,Canada,,Calgary,9,3,2003,64.1
North America,US,Ohio,Toledo,4,23,2009,46.1
Africa,Mozambique,,Maputo,1,4,2003,82.9
Asia,Malaysia,,Kuala Lumpur,8,6,1995,78.2
North America,US,Georgia,Savannah,9,7,2002,79.4
Africa,Tunisia,,Tunis,8,6,2003,84.7
Middle East,Saudi Arabia,,Riyadh,10,5,2001,79.1
Australia/South Pacific,Australia,,Canberra,6,20,1996,42.6
North America,US,Florida,Tampa St. Petersburg,11,30,2014,65.3
North America,US,Pennsylvania,Erie,1,14,2018,14.5
North America,US,Wyoming,Cheyenne,3,10,2010,30.8
North America,US,Texas,San Angelo,1,15,2011,49.5
Africa,Guinea-Bissau,,Bissau,8,2,1995,77.9
Middle East,Lebanon,,Beirut,11,14,2005,66.5
North America,US,Tennessee,Knoxville,5,3,2001,70.2
North America,US,Idaho,Boise,4,1,2004,43.6
North America,US,New York,Buffalo,6,17,2017,78.2
Europe,Latvia,,Riga,11,27,2014,28.7
Europe,Croatia,,Zagreb,10,30,2006,50.6
Europe,United Kingdom,,Belfast,3,11,2001,40.9
North America,US,Arizona,Tucson,6,9,2007,82.4
Africa,Ivory Coast,,Abidjan,5,15,1995,81.3
Europe,Czech Republic,,Prague,12,6,2016,27.3
Africa,Kenya,,Nairobi,1,13,2015,70.8
Europe,Germany,,Munich,7,8,1997,61.2
Asia,China,,Shanghai,10,28,1996,64.0
Europe,The Netherlands,,Amsterdam,4,29,2009,51.8
North America,US,Iowa,Des Moines,3,28,1997,52.3
North America,Canada,,Ottawa,5,24,2013,45.3
Europe,France,,Paris,11,22,2003,56.1
Europe,Switzerland,,Bern,4,21,2019,54.7
North America,Canada,,Toronto,6,27,2011,67.7
Africa,Zambia,,Lusaka,1,13,1995,71.8
North America,Canada,,Vancouver,8,6,1998,68.6
Asia,Uzbekistan,,Tashkent,7,8,1996,86.4
Europe,The Netherlands,,Amsterdam,2,11,2005,43.7
Asia,Japan,,Tokyo,9,30,1998,71.4
North America,US,Wisconsin,Madison,10,13,2012,48.3
South/Central America & Carribean,Brazil,,Sao Paulo,3,31,2020,70.5
Africa,Tanzania,,Dar Es Salaam,10,14,2017,78.8
North America,US,Mississippi,Jackson,7,25,2003,77.2
South/Central America & Carribean,Argentina,,Buenos Aires,11,13,2013,68.4
Africa,Tanzania,,Dar Es Salaam,7,27,2013,76.3
South/Central America & Carribean,Dominican Republic,,Santo Domingo,8,1,2003,81.3
Europe,Switzerland,,Zurich,5,18,1998,54.4
North America,US,Florida,West Palm Beach,3,17,1999,67.5
Asia,India,,Chennai (Madras),4,8,2011,84.1
Asia,Singapore,,Singapore,9,30,2008,79.9
Africa,Zambia,,Lusaka,12,4,2002,72.3
North America,US,Colorado,Colorado Springs,1,25,1999,26.8
Asia,Hong Kong,,Hong Kong,12,30,2014,59.8
North America,US,Alabama,Huntsville,11,17,1999,45.3
North America,US,Alabama,Montgomery,8,24,2015,83.2
North America,US,Washington,Seattle,4,10,2018,54.1
North America,US,Louisiana,Lake Charles,3,13,2007,65.2
North America,US,Missouri,Springfield,8,13,2002,72.4
Europe,Iceland,,Reykjavik,9,29,2005,36.2
Europe,Spain,,Madrid,5,24,2012,74.0
North America,US,Virginia,Richmond,5,17,1995,71.0
North America,US,Mississippi,Jackson,2,21,2012,57.5
North America,US,Nevada,Reno,11,26,2009,37.3
North America,US,Michigan,Grand Rapids,10,22,2013,42.4
North America,US,Nebraska,Omaha,5,3,2007,61.2
Europe,Switzerland,,Bern,9,12,1996,53.4
Europe,Italy,,Milan,3,24,1996,50.4
North America,US,Illinois,Chicago,5,10,2013,47.4
North America,US,Texas,Houston,11,20,2012,62.1
North America,US,Virginia,Richmond,9,6,2018,81.9
North America,US,Texas,Amarillo,6,12,2010,81.1
North America,US,California,Los Angeles,12,21,2009,59.7
North America,Canada,,Quebec,9,4,2016,60.8
North America,US,North Carolina,Raleigh Durham,1,8,2000,38.6
South/Central America & Carribean,Equador,,Quito,11,16,1999,58.4
Africa,Congo,,Brazzaville,4,28,2010,79.8
North America,US,Arkansas,Fort Smith,1,13,2014,57.8
North America,US,Oklahoma,Oklahoma City,4,28,2012,72.0
Europe,Spain,,Barcelona,3,6,2009,52.1
North America,US,Montana,Helena,3,7,2012,27.1
Asia,Japan,,Osaka,5,5,2008,61.9
North America,US,Florida,Tallahassee,10,31,2001,56.3
Europe,Bulgaria,,Sofia,6,14,2008,66.1
North America,US,Florida,Orlando,11,7,2010,55.8
North America,US,Tennessee,Chattanooga,12,3,2010,40.0
Africa,Central African Republic,,Bangui,2,12,1995,-99.0
Africa,South Africa,,Capetown,1,5,2012,70.2
Asia,Taiwan,,Taipei,7,6,2016,87.1
North America,US,Oregon,Salem,12,10,2003,40.6
Asia,Pakistan,,Islamabad,12,13,2012,50.9
North America,US,West Virginia,Elkins,4,17,1996,42.3
Asia,India,,Delhi,8,22,1995,83.2
Europe,Romania,,Bucharest,6,8,2010,72.8
Asia,Malaysia,,Kuala Lumpur,6,18,2018,83.3
North America,US,Ohio,Youngstown,6,8,2011,77.0
Africa,Egypt,,Cairo,3,31,2015,68.3
North America,Canada,,Halifax,10,3,1998,46.9
North America,US,North Carolina,Raleigh Durham,10,17,2019,54.9
Middle East,United Arab Emirates,,Dubai,4,3,1997,69.0
Africa,Tanzania,,Dar Es Salaam,1,30,2014,83.6
North America,US,Indiana,South Bend,6,9,2005,77.2
North America,US,Texas,Corpus Christi,4,20,2018,68.4
North America,US,South Dakota,Sioux Falls,10,7,1995,45.8
Europe,Italy,,Rome,11,6,1998,60.5
Europe,Yugoslavia,,Belgrade,5,27,2016,70.3
North America,US,Minnesota,Duluth,5,25,1996,48.4
Europe,Macedonia,,Skopje,9,24,2003,68.3
North America,US,Texas,San Antonio,1,18,2019,57.5
